bill_ID,drinker
0,Saul
1,Damian
2,Rachel
3,Jocelyn
4,Lesley
5,Brianna
6,Brain
7,Earline
8,Marian
9,Mark
10,Chester
11,Elliot
12,Lloyd
13,Lynda
14,Angel
15,Jim
16,Trent
17,Eduardo
18,Blanche
19,Mollie
20,Derrick
21,Jake
22,Rory
23,Lorraine
24,Noemi
25,Stephen
26,Carol
27,Wanda
28,Beatriz
29,Dolores
30,Louie
31,Kendra
32,Jay
33,Vince
34,Flora
35,Ivy
36,Simon
37,Moises
38,Maurice
39,Glenna
40,Eve
41,Chester
42,Jaime
43,Mollie
44,Doyle
45,Lilian
46,Gregg
47,Marty
48,Eduardo
49,Luisa
50,Micah
51,Barbra
52,Alton
53,Lara
54,Eli
55,Quinton
56,Tara
57,Harold
58,Stephan
59,Glenna
60,Elnora
61,Robin
62,Callie
63,Joesph
64,Joan
65,Tyrone
66,Sophie
67,Bruce
68,Denis
69,Lupe
70,Joe
71,Delores
72,Dwayne
73,Debra
74,Tyrone
75,Desiree
76,Marta
77,Hugo
78,Nicholas
79,Karen
80,Cecelia
81,Vaughn
82,Eric
83,Nick
84,Jared
85,Ignacio
86,Ellis
87,Josh
88,Willa
89,Fran
90,Brandy
91,Willa
92,Lucille
93,Bill
94,Shirley
95,Kirby
96,George
97,Earlene
98,Dollie
99,Susan
100,Kate
101,Freddy
102,Rae
103,Kyle
104,Anne
105,Tanya
106,Carol
107,Amy
108,Dorthy
109,Ryan
110,Simon
111,Cherie
112,Tyson
113,Roman
114,Patty
115,Doug
116,Dominick
117,Lenore
118,Bernadine
119,Darius
120,Cecile
121,Jack
122,Fran
123,Joaquin
124,Shelia
125,Jody
126,Sabrina
127,Patrica
128,Chester
129,Sharron
130,Clare
131,Bradley
132,Lorenzo
133,Gordon
134,Louise
135,Louise
136,Kristine
137,Lana
138,Nick
139,Noel
140,Shauna
141,Ingrid
142,Myrna
143,Tommie
144,Lucile
145,Erwin
146,Robyn
147,Santiago
148,Carolyn
149,Eric
150,Tim
151,Ira
152,Amanda
153,Olivia
154,Charlene
155,Louisa
156,Marlon
157,Julianne
158,Santiago
159,Patricia
160,Bryant
161,Melva
162,Fay
163,Otis
164,Edmond
165,Louie
166,Sybil
167,Susan
168,Donnie
169,Barbra
170,Hugh
171,Loyd
172,Gladys
173,Terrance
174,Anne
175,Rafael
176,Leila
177,Randi
178,Roscoe
179,Emil
180,Candy
181,Phillip
182,Silvia
183,Diego
184,Sheryl
185,Wendy
186,Rachael
187,Simone
188,Mona
189,Teddy
190,Avis
191,Rusty
192,Beatrice
193,Ofelia
194,Karen
195,Celia
196,Micheal
197,Melanie
198,Regina
199,Howard
200,Tiffany
201,Johnny
202,Malinda
203,Julia
204,Hollis
205,Colleen
206,Douglas
207,Jeffrey
208,Effie
209,Laurie
210,John
211,Alfonso
212,Marcia
213,Mamie
214,Forrest
215,Kyle
216,Sophie
217,Paul
218,Juliana
219,Verna
220,Armando
221,Mary
222,Lee
223,Elwood
224,Hope
225,Matthew
226,Michel
227,Dianne
228,Jennifer
229,Francine
230,Marlene
231,Devon
232,Miguel
233,Tia
234,Desiree
235,Kathrine
236,Christie
237,Susan
238,Theresa
239,Olga
240,Ralph
241,Emilia
242,Rena
243,Maryanne
244,Joanne
245,Leila
246,Paul
247,Eliza
248,Denise
249,Jaclyn
250,Maribel
251,Angie
252,Andy
253,Brianna
254,Jacquelyn
255,Cornelius
256,Loraine
257,Gwen
258,Constance
259,Harley
260,Kimberley
261,Millard
262,Bill
263,Marcella
264,Dallas
265,Spencer
266,Mary
267,Blake
268,Javier
269,Kendall
270,Minnie
271,Jaime
272,Dustin
273,Krista
274,Greta
275,Jay
276,Leland
277,Benito
278,Addie
279,Misty
280,Renee
281,Troy
282,Sally
283,Cheri
284,Lee
285,Teddy
286,Micheal
287,Mary
288,Rosario
289,Delia
290,Raphael
291,Junior
292,Jacob
293,Joyce
294,Therese
295,Priscilla
296,Blair
297,Jose
298,Trent
299,Benito
300,Mae
301,Carole
302,Ali
303,Roxie
304,Liza
305,Lydia
306,Francis
307,Matilda
308,Veronica
309,Annabelle
310,Francis
311,Melva
312,Christie
313,Louis
314,Emmett
315,Alex
316,Penny
317,Alice
318,Maureen
319,Esteban
320,Aubrey
321,Leland
322,Justine
323,Beverly
324,Derick
325,Erma
326,Crystal
327,Gerardo
328,Freddy
329,Demetrius
330,Mamie
331,Nicolas
332,Brandi
333,Timothy
334,Laverne
335,Gregorio
336,Bianca
337,Dean
338,Matthew
339,June
340,Patrice
341,Milagros
342,Elvin
343,Constance
344,Christa
345,Suzanne
346,Juanita
347,Roxie
348,Gayle
